19      pedro                                                           545646541912-12-12654564                          23123213213   5645646                                                         564564                                                          654654                              
22      2017-10-01 03:42:32                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:42:32 
23      2017-10-01 03:42:32                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:42:32 
24      XUPDATE: 2017-10-01 03:42:32                                    aaa123  2017-10-10Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:42:32 
29      2017-10-01 03:42:58                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:42:58 
30      2017-10-01 03:42:58                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:42:58 
31      UPDATE: 2017-10-01 03:42:58                                     aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:42:58 
36      2017-10-01 03:45:23                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:45:23 
37      2017-10-01 03:45:23                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:45:23 
38      UPDATE: 2017-10-01 03:45:23                                     aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:45:23 
43      2017-10-01 03:45:54                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:45:54 
44      2017-10-01 03:45:54                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:45:54 
45      UPDATE: 2017-10-01 03:45:54                                     aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:45:54 
50      2017-10-01 03:46:46                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:46:46 
51      2017-10-01 03:46:52                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:46:52 
52      UPDATE: 2017-10-01 03:47:05                                     aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 03:47:05 
57      2017-10-01 04:00:09                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 04:00:09 
58      2017-10-01 04:00:09                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 04:00:09 
59      UPDATE: 2017-10-01 04:00:09                                     aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 04:00:09 
64      2017-10-01 04:02:34                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 04:02:34 
65      2017-10-01 04:02:34                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 04:02:34 
66      UPDATE: 2017-10-01 04:02:34                                     aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 04:02:34 
71      2017-10-01 04:30:22                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 04:30:22 
72      2017-10-01 04:30:22                                             aaa123  19/01/1985Porto Alegre                    000.000.000-00Pai Conceicao de Araujo                                         Mae Conceicao de Araujo                                         Isso e um teste 2017-10-01 04:30:22 
